#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-04-28 00:47:10
#Fields: date time cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes
2016-04-28 08:39:26 GET /favicon.ico - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 404 1405
2016-04-28 08:39:30 GET / - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 - 200 10818
2016-04-28 08:39:30 GET /csi.js - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 404 1405
2016-04-28 08:39:30 GET /grafikk/galleri_elsa_3n.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 304 164
2016-04-28 08:39:30 GET /style/style.css - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 304 164
2016-04-28 08:39:30 GET /grafikk/rute_sort.gif - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 304 164
2016-04-28 08:39:30 GET /bilder/bjertnas_1505_1_4.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 304 164
2016-04-28 08:39:31 GET /omgalleriet/index.php - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 200 6980
2016-04-28 08:39:32 GET /bilder/galleri_1312_3_2.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/omgalleriet/index.php 200 13943
2016-04-28 08:39:32 GET /bilder/galleri_1312_2_2.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/omgalleriet/index.php 200 15399
2016-04-28 08:39:32 GET /bilder/jub01_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/omgalleriet/index.php 200 5921
2016-04-28 08:39:32 GET /bilder/galleri_1312_6_2.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/omgalleriet/index.php 200 17928
2016-04-28 08:39:32 GET /bilder/galleri_1312_1_2.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/omgalleriet/index.php 200 13954
2016-04-28 08:39:32 GET /bilder/galleri_1312_5_2.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/omgalleriet/index.php 200 12527
2016-04-28 08:39:45 GET /kunstnere/index.php - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 200 1673
2016-04-28 08:39:45 GET /bilder/jharr_1210_1_6.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/kunstnere/index.php 404 1405
2016-04-28 08:40:02 GET /utstilling/index.php - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 200 4900
2016-04-28 08:40:02 GET /bilder/widerberg_1503_11_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 200 10175
2016-04-28 08:40:02 GET /bilder/helgesen_1409_01_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 404 1405
2016-04-28 08:40:02 GET /bilder/sandemose_1412_3_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 200 5783
2016-04-28 08:40:02 GET /bilder/bleken_1410_4_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 200 9296
2016-04-28 08:47:00 GET /utstilling/bjertnas.shtml - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 404 1405
2016-04-28 08:49:24 GET /utstilling/index.php - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 200 4890
2016-04-28 08:49:24 GET /style/style.css - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 164
2016-04-28 08:49:24 GET /bilder/bjertnas_1505_1_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 164
2016-04-28 08:49:24 GET /bilder/sandemose_1412_3_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 163
2016-04-28 08:49:24 GET /bilder/widerberg_1503_11_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 164
2016-04-28 08:49:24 GET /bilder/helgesen_1409_01_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 404 1405
2016-04-28 08:49:24 GET /bilder/bleken_1410_4_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 164
2016-04-28 08:49:27 GET /utstilling/index.php - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 200 4890
2016-04-28 08:49:27 GET /bilder/bjertnas_1505_1_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 164
2016-04-28 08:49:27 GET /style/style.css - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 164
2016-04-28 08:49:27 GET /bilder/widerberg_1503_11_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 164
2016-04-28 08:49:27 GET /bilder/bleken_1410_4_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 164
2016-04-28 08:49:27 GET /bilder/sandemose_1412_3_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 304 163
2016-04-28 08:49:27 GET /bilder/helgesen_1409_01_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 404 1405
2016-04-28 08:52:01 GET /bilder/helgesen_1409_01_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 404 1405
2016-04-28 08:52:04 GET /utstilling/helgesen.html - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 200 4560
2016-04-28 08:52:04 GET /bilder/helgesen_1409_01_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/helgesen.html 404 1405
2016-04-28 08:52:04 GET /bilder/helgesen_1409_05_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/helgesen.html 404 1405
2016-04-28 08:52:04 GET /bilder/helgesen_1409_06_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/helgesen.html 404 1405
2016-04-28 08:52:04 GET /bilder/helgesen_1409_02_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/helgesen.html 200 13730
2016-04-28 08:52:04 GET /bilder/helgesen_1409_03_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/helgesen.html 200 23996
2016-04-28 08:52:04 GET /bilder/helgesen_1409_04_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/helgesen.html 200 16110
2016-04-28 08:52:04 GET /bilder/helgesen_1409_07_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/helgesen.html 200 8519
2016-04-28 08:52:17 GET /kunstnere/widerberg.html - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/utstilling/index.php 200 6656
2016-04-28 08:52:17 GET /bilder/widerberg_1503_10_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/kunstnere/widerberg.html 200 9632
2016-04-28 08:52:17 GET /bilder/widerberg_1503_1_1.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/kunstnere/widerberg.html 200 10737
